weight_specter2,query_type,n_queries,hit@5,precision@5,ndcg@5,hit@10,precision@10,ndcg@10,hit@20,precision@20,ndcg@20,mrr,median_rank,mean_rank
1.0,keyword_query,479,0.5177,0.1035,0.4098,0.6054,0.0605,0.4387,0.7015,0.0351,0.4629,0.3975,5,149.2
0.9,keyword_query,479,0.5073,0.1015,0.4059,0.6033,0.0603,0.4368,0.6931,0.0347,0.4595,0.3959,5,149.2
0.8,keyword_query,479,0.476,0.0952,0.3805,0.5616,0.0562,0.4084,0.6681,0.0334,0.435,0.3723,6,173.6
0.7,keyword_query,479,0.4405,0.0881,0.3306,0.499,0.0499,0.3495,0.5971,0.0299,0.3739,0.314,11,234.3
0.5,keyword_query,479,0.2443,0.0489,0.1676,0.3048,0.0305,0.187,0.3987,0.0199,0.2108,0.1625,50,636.6
0.3,keyword_query,479,0.0814,0.0163,0.052,0.1211,0.0121,0.0649,0.1816,0.0091,0.0803,0.0569,357,2086.4
0.0,keyword_query,479,0.0125,0.0025,0.0071,0.023,0.0023,0.0106,0.0438,0.0022,0.0159,0.0105,2839,7223.8
1.0,task_query,479,0.3048,0.061,0.2278,0.3946,0.0395,0.2565,0.4843,0.0242,0.279,0.2257,24,623.0
0.9,task_query,479,0.3006,0.0601,0.2255,0.3862,0.0386,0.2533,0.4843,0.0242,0.2779,0.2248,23,605.1
0.8,task_query,479,0.2693,0.0539,0.1981,0.357,0.0357,0.2265,0.4509,0.0225,0.2501,0.1993,27,633.6
0.7,task_query,479,0.238,0.0476,0.1729,0.3194,0.0319,0.1994,0.3987,0.0199,0.2195,0.1749,42,729.7
0.5,task_query,479,0.1357,0.0271,0.0961,0.2046,0.0205,0.118,0.2526,0.0126,0.1301,0.1022,114,1310.9
0.3,task_query,479,0.0689,0.0138,0.0449,0.1002,0.01,0.0549,0.1357,0.0068,0.0635,0.0482,464,2812.6
0.0,task_query,479,0.0146,0.0029,0.0087,0.0271,0.0027,0.013,0.0418,0.0021,0.0166,0.0124,2531,7144.5
1.0,problem_query,479,0.2171,0.0434,0.167,0.2693,0.0269,0.1837,0.334,0.0167,0.1998,0.1683,53,1024.6
0.9,problem_query,479,0.2234,0.0447,0.1704,0.2797,0.028,0.1885,0.3403,0.017,0.2037,0.1716,49,969.7
0.8,problem_query,479,0.2234,0.0447,0.1669,0.2777,0.0278,0.1845,0.3528,0.0176,0.203,0.1662,64,981.0
0.7,problem_query,479,0.1942,0.0388,0.144,0.2526,0.0253,0.163,0.3152,0.0158,0.1787,0.1457,86,1087.2
0.5,problem_query,479,0.1232,0.0246,0.095,0.1545,0.0154,0.1049,0.2317,0.0116,0.1246,0.1,244,1758.6
0.3,problem_query,479,0.0835,0.0167,0.0597,0.1086,0.0109,0.0679,0.1294,0.0065,0.0731,0.0605,813,3397.3
0.0,problem_query,479,0.0271,0.0054,0.016,0.0418,0.0042,0.0206,0.0564,0.0028,0.0242,0.0172,3534,7675.8
1.0,natural_query,479,0.6493,0.1299,0.5442,0.7035,0.0704,0.5618,0.7871,0.0394,0.5832,0.5259,2,82.2
0.9,natural_query,479,0.643,0.1286,0.5538,0.7182,0.0718,0.5781,0.7912,0.0396,0.5965,0.5425,2,83.0
0.8,natural_query,479,0.6305,0.1261,0.536,0.7056,0.0706,0.5609,0.7871,0.0394,0.5814,0.5243,2,94.7
0.7,natural_query,479,0.5992,0.1198,0.5015,0.6889,0.0689,0.5303,0.762,0.0381,0.5487,0.4895,3,120.4
0.5,natural_query,479,0.4489,0.0898,0.3566,0.5491,0.0549,0.3889,0.6326,0.0316,0.4101,0.3503,8,253.8
0.3,natural_query,479,0.2422,0.0484,0.1868,0.3132,0.0313,0.2096,0.3987,0.0199,0.2313,0.1899,42,748.6
0.0,natural_query,479,0.0731,0.0146,0.0479,0.1044,0.0104,0.0579,0.1253,0.0063,0.0632,0.0498,767,3469.4
